movie_title,comment,tag
肖申克的救赎 The Shawshank Redemption,整部电影有点像爽剧，给我的最大感受不是自由真好，而是脑子聪明真好。Andy越狱后的一切过于完美，以至于在最后一幕，当蓝得不真实的大西洋出现时，我一度怀疑这一切都是Red老头的美好幻想——其实Andy已经精神崩溃，或者越狱的时候被击毙。而他照例无法被保释，老死在监狱。人生最后的日子里，为了消磨时光，在脑海里编一些不一样的结局，弥补今生的遗憾。     然而，既然这部电影一直强调“希望是个好东西”，所以行吧，来点儿积极的：祝我们不满足于肖申克的冷啤酒、音乐和图书馆，而是走出墙外，一直往大西洋走去。祝我们有智慧和勇气踏上一条充满不确定性的自由之路。祝我这条影评别给我惹来麻烦。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,真正的救赎从来不是词汇意义上的“彻底改造”，而是在历经劫难、遗失人生重要年华过后依然渴求灵魂与躯体的自由和无上美好的希望,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,我不知道这是不是史上最佳的电影，但这绝对是吹嘘最大的电影。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,怒赞，很难有一部电影能比《肖申克的救赎》更好的诠释梦想与救赎这两个词的关联，电影予人带来心理的洗涤震撼是如此深刻，对比安迪，我们生活中看似无以能迈不过的坎又算什么？当你若能一直心拥梦想，哪怕失败，也定能获得希望的救赎。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,最后那一瞬间啊,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,可以说这是越狱系列影片的鼻祖，故事情节细腻紧凑，从被迫入狱，在狱中斗智斗勇，夹缝中求生存，以及对重获自由的极度渴望，凭借超高的智商和过人的勇气，一次次化险为夷，最终和狱友成功逃离，获得自由。侧面揭露的社会黑暗及腐败不堪入眼的一面，值得深思回味,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,重看次数最多的电影,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,不够味道。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,还是经典的老电影振奋人心，主人公逃出监狱在河流中张开双臂的画面记忆犹新。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,任何时候都要坚持，坚持就会成功的，但现实能一直坚持的人是少的。值得一看,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,好的电影值得所有人反复观看，这就是一部。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,自我救赎才是唯一的出口。感叹于知识改变命运啊。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,非常触动人心的经典,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,无疑是好看的。但这么高的评分却是夸大了,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,有点好奇这部片为何被过度赞誉到这个地步···,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,经典是可以反复品味的，安迪对生活和自由充满向往，出狱对他来说是新生;而早已习惯了监狱生活的瑞德，已变得麻木，出狱对他来说就是死亡。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,要么忙着活，要么忙着死。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,希望有朝一日中国也能拍出这种有深刻人生内涵的电影,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,肖申克的救赎，这部电影很好看，值得推荐,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,应该再看一遍,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,生的酣畅淋漓。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,发现自己最近真的是愿意回看经典 尤其是没有女主的经典 自由与希望 多么美好的词汇 可是一个迂腐的人现在才体会到 这两个词如果一年前对我提起 那么我会表示鄙夷 会觉得这两个词太虚无缥缈 假大空 而现在 如果你向我提起 那么我会说 我爱自由和希望,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,《肖申克的救赎》中安迪的扮演者蒂姆·罗宾斯说：“这部电影传达的是长久赛，而不是即时的满足。很多人感觉被困在了自己的生活中，因为一个糟糕的工作，或者相处不愉快的伴侣，或者其他随便一个什么原因。从隐喻层面上看，电影向这些人诉说了一个理念，就是对于所有人来说，总有一处理想之地在等着你，终有一刻，你会达到那里。”,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,最最最最最好看的电影。没有之一。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,好多感受不能用语言表达，世界很糟糕也很美好，坚持才有希望,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,这部被称为《刺激1995》的影片在中国影迷间也有极好的口碑，可见电影超越国界的神奇之处。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,要么忙着活 要么忙着死 人应该对现有生活保持乐观的心态 充满希望 学会享受 而不是得过且过 苟且偷生 这种人生还有什么意义呢？还不如趁早去死 活着也是浪费资源,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,绝望里长出的希望能带来无限的勇气,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,一个内心坚强有信念的人,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,真的好好看呀，对得起它那么高的评分，我要找小说来看一遍了,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,救赎每次看都有一种新的感觉，没有什么能够形容我对他的崇拜，人生若是真的能自由自在的在日落的时候喝着沁人的冰啤，那该是多么美好啊。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"一部没有女主,没有爱情的好电影！不可超越的励志佳片，真的很令人感动的美国电影！炒鸡推荐🎉五星绝对的！",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,你知道，有些鸟儿是注定不会被关在牢笼里的。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,好看但这么高的分有点假了吧，如果和越狱比起来，还是越狱好看些！,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,很久之前看的了，印象深刻的是一位老人在出狱后不知道如何生活了，外面的一切都是他所不熟悉的，无法正常的工作，交流，生活。最终选择结束了自己的生命。习惯真的是一种极其强大的可怕的力量！,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,虚假的巧合被当作精妙对比，突兀的后果往往使人惊叹而不是受启发，脱离过去过于决绝。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,最后奔跑拥抱那里真的好感动。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,几年前看的，看完之后挺久了才回神，第一次因为看了一部电影反思自己。是我心中电影的第一名～,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"对推上神坛的电影总是莫名恐惧，以致雪藏了多年才看。看完发现它之所以雄踞各类榜首，是因其他至多称作经典，而它却可称作伟大。Fear Can Hold You Prisoner, Hope Can Set You Free .Hope is a good thing.",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,懦怯囚禁人的灵魂  希望让人自由 强者自救  圣者渡人,剧情 犯罪
